﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าโฆษณา,31 - 50 คน,307423.37,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าโฆษณา,51 - 200 คน,498357.65,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าโฆษณา,มากกว่า 200 คน,1414578.23,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเบี้ยประกันภัย,รวม,948291.22,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเบี้ยประกันภัย,1 - 15 คน,242025.64,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเบี้ยประกันภัย,16 - 25 คน,26708.73,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเบี้ยประกันภัย,26 - 30 คน,26982.8,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเบี้ยประกันภัย,31 - 50 คน,49490.64,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเบี้ยประกันภัย,51 - 200 คน,307763.03,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเบี้ยประกันภัย,มากกว่า 200 คน,295320.37,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการใช้บริการอินเทอร์เน็ต,รวม,723201.05,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการใช้บริการอินเทอร์เน็ต,1 - 15 คน,193952.51,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายเกี่ยวกับการใช้บริการอินเทอร์เน็ต,16 - 25 คน,179859.72,พันบาท,สำนักงานสถิติแห่งชาติ
